warehouse_id,region,store_id,cat_low,target_date,actual_order_qty
1,본사창고,1,TV,2021-01-04,195
1,본사창고,1,TV,2021-01-11,179
1,본사창고,1,TV,2021-01-18,241
1,본사창고,1,TV,2021-01-25,196
1,본사창고,1,TV,2021-02-01,210
1,본사창고,1,TV,2021-02-08,256
1,본사창고,1,TV,2021-02-15,199
1,본사창고,1,TV,2021-02-22,269
1,본사창고,1,TV,2021-03-01,268
1,본사창고,1,TV,2021-03-08,263
1,본사창고,1,TV,2021-03-15,265
1,본사창고,1,TV,2021-03-22,210
1,본사창고,1,TV,2021-03-29,245
1,본사창고,1,TV,2021-04-05,313
1,본사창고,1,TV,2021-04-12,294
1,본사창고,1,TV,2021-04-19,251
1,본사창고,1,TV,2021-04-26,231
1,본사창고,1,TV,2021-05-03,152
1,본사창고,1,TV,2021-05-10,177
1,본사창고,1,TV,2021-05-17,153
1,본사창고,1,TV,2021-05-24,192
1,본사창고,1,TV,2021-05-31,233
1,본사창고,1,TV,2021-06-07,184
1,본사창고,1,TV,2021-06-14,195
1,본사창고,1,TV,2021-06-21,253
1,본사창고,1,TV,2021-06-28,187
1,본사창고,1,TV,2021-07-05,175
1,본사창고,1,TV,2021-07-12,130
1,본사창고,1,TV,2021-07-19,202
1,본사창고,1,TV,2021-07-26,133
1,본사창고,1,TV,2021-08-02,248
1,본사창고,1,TV,2021-08-09,152
1,본사창고,1,TV,2021-08-16,184
1,본사창고,1,TV,2021-08-23,176
1,본사창고,1,TV,2021-08-30,148
1,본사창고,1,TV,2021-09-06,163
1,본사창고,1,TV,2021-09-13,164
1,본사창고,1,TV,2021-09-20,149
1,본사창고,1,TV,2021-09-27,173
1,본사창고,1,TV,2021-10-04,137
1,본사창고,1,TV,2021-10-11,141
1,본사창고,1,TV,2021-10-18,201
1,본사창고,1,TV,2021-10-25,166
1,본사창고,1,TV,2021-11-01,257
1,본사창고,1,TV,2021-11-08,200
1,본사창고,1,TV,2021-11-15,180
1,본사창고,1,TV,2021-11-22,251
1,본사창고,1,TV,2021-11-29,212
1,본사창고,1,TV,2021-12-06,219
1,본사창고,1,TV,2021-12-13,318
1,본사창고,1,TV,2021-12-20,294
1,본사창고,1,TV,2021-12-27,264
1,본사창고,1,TV,2022-01-03,171
1,본사창고,1,TV,2022-01-10,175
1,본사창고,1,TV,2022-01-17,190
1,본사창고,1,TV,2022-01-24,248
1,본사창고,1,TV,2022-01-31,197
1,본사창고,1,TV,2022-02-07,219
1,본사창고,1,TV,2022-02-14,245
1,본사창고,1,TV,2022-02-21,185
1,본사창고,1,TV,2022-02-28,263
1,본사창고,1,TV,2022-03-07,291
1,본사창고,1,TV,2022-03-14,270
1,본사창고,1,TV,2022-03-21,265
1,본사창고,1,TV,2022-03-28,227
1,본사창고,1,TV,2022-04-04,289
1,본사창고,1,TV,2022-04-11,200
1,본사창고,1,TV,2022-04-18,138
1,본사창고,1,TV,2022-04-25,240
1,본사창고,1,TV,2022-05-02,285
1,본사창고,1,TV,2022-05-09,209
1,본사창고,1,TV,2022-05-16,230
